Mach,CD Power-On
3.19,0.277497036789201
3.2,0.276790979792553
3.21,0.276090115578093
3.22,0.275394365918905
3.23,0.274703725312715
3.24,0.27401815346249
3.25,0.273337635245252
3.26,0.272662133468592
3.27,0.271991623208901
3.28,0.271326049404944
3.29,0.27066542157026
3.3,0.270009674603883
3.31,0.26935880652788
3.32,0.268712761900382
3.33,0.268071526150641
3.34,0.267435081538901
3.35,0.266803379320823
3.36,0.266176410901952
3.37,0.265554129115342
3.38,0.264936519996791
3.39,0.264323539463603
3.4,0.263715170998737
3.41,0.263111405263038
3.42,0.262512180107308
3.43,0.26191749210372
3.44,0.261327301026948
3.45,0.260741579622617
3.46,0.260160321654875
3.47,0.259583494660479
3.48,0.25901105447427
3.49,0.258442983868674
3.5,0.25787925932682
3.51,0.25731986983767
3.52,0.256764751707574
3.53,0.256213921369392
3.54,0.255667325341038
3.55,0.255124943594122
3.56,0.254586759559388
3.57,0.254052750061147
3.58,0.253522885472906
3.59,0.252997122885325
3.6,0.252475478790855
3.61,0.251957888349857
3.62,0.25144435082867
3.63,0.250934838317218
3.64,0.250429314652349
3.65,0.249927766688887
3.66,0.249430160222118
3.67,0.248936498699168
3.68,0.248446743670785
3.69,0.247960846749312
3.7,0.247478819717311
3.71,0.247000616414573
3.72,0.246526245811202
3.73,0.246055636578665
3.74,0.245588806889645
3.75,0.245125719045539
3.76,0.244666343896831
3.77,0.244210667979795
3.78,0.243758663470897
3.79,0.243310314724081
3.8,0.242865592410012
3.81,0.242424481155059
3.82,0.24198695000545
3.83,0.241552985503348
3.84,0.241122566267548
3.85,0.240695662621118
3.86,0.240145524801084
3.87,0.239598854042719
3.88,0.239055643507357
3.89,0.23851586928578
3.9,0.237979498668135
3.91,0.237446534225288
3.92,0.236916925803267
3.93,0.236390686073722
3.94,0.235867756373881
3.95,0.23534814262413
3.96,0.234831809081967
3.97,0.234318744540282
3.98,0.233808923463444
3.99,0.233302326332989
4.0,0.232798930368576
4.01,0.232298721962279
4.02,0.231801678791951
4.03,0.231307768300098
4.04,0.230816991302711
4.05,0.23032932414262
4.06,0.229844728986801
4.07,0.229363192317077
4.08,0.228884692192823
4.09,0.228409229529606
4.1,0.227936755261025
4.11,0.227467280468855
4.12,0.227000768993045
4.13,0.226537196421956
4.14,0.226076536725032
4.15,0.225618808395526
4.16,0.225163948211298
4.17,0.224711959382177
4.18,0.224262828684235
4.19,0.223816504901473
4.2,0.223373002362264
4.21,0.222932287063186
4.22,0.222494346222446
4.23,0.222059155925181
4.24,0.221626703497376
4.25,0.221196960352915
4.26,0.22076991063421
4.27,0.220345551457911
4.28,0.219923831969534
4.29,0.219504766902581
4.3,0.219088331067088
4.31,0.218674473107991
4.32,0.218263223631506
4.33,0.217854526319214
4.34,0.217448381808945
4.35,0.217044766731241
4.36,0.216643666240401
4.37,0.216245062589845
4.38,0.215848935487553
4.39,0.215485853143686
4.4,0.215195312630743
4.41,0.214905172093405
4.42,0.214615422825566
4.43,0.214326057397582
4.44,0.214037094210188
4.45,0.213748521153017
4.46,0.213460338489736
4.47,0.213172528673131
4.48,0.21288512209866
4.49,0.212598076014398
4.5,0.212311403461254
4.51,0.212025103640992
4.52,0.211739181966942
4.53,0.211453624602953
4.54,0.211168426833156
4.55,0.210883580200178
4.56,0.210599099822802
4.57,0.210314976954678
4.58,0.210031198395105
4.59,0.209747770704926
4.6,0.209464677682796
4.61,0.20918192414492
4.62,0.208899510913547
4.63,0.208617417111146
4.64,0.208335663319121
4.65,0.208054221340623
4.66,0.207773094469234
4.67,0.207492284302638
4.68,0.207211795442286
4.69,0.206931602242699
4.7,0.206651720494075
4.71,0.20637212313228
4.72,0.206092818571427
4.73,0.205813802373089
4.74,0.205535071417445
4.75,0.205256622509072
4.76,0.2049784285238
4.77,0.204700531361646
4.78,0.204422863744061
4.79,0.204145479200874
4.8,0.203868337243129
4.81,0.203591452887759
4.82,0.203314803877756
4.83,0.203038395111945
4.84,0.202762218645719
4.85,0.20248625924292
4.86,0.202210531606032
4.87,0.201935015958016
4.88,0.201659721329817
4.89,0.201384615555203
4.9,0.201109719273983
4.91,0.200835014636108
4.92,0.200560487703172
4.93,0.20028615389987
4.94,0.200012001250677
4.95,0.19973801910896
4.96,0.199464192655572
4.97,0.19919053220618
4.98,0.198917012107182
4.99,0.198643653254262
5.0,0.198370418925244
5.01,0.198097337405622
5.02,0.197824358082615
5.03,0.197551528295728
5.04,0.197278799099945
5.05,0.197006179656645
5.06,0.196733668060188
5.07,0.196461247921319
5.08,0.196188928348863
5.09,0.195916670872502
5.1,0.195644498154223
5.11,0.195372399964647
5.12,0.195100374096533
5.13,0.194828386620211
5.14,0.194556470107535
5.15,0.194284572243115
5.16,0.194012725963855
5.17,0.193740907460563
5.18,0.193469109862094
5.19,0.193197330335693
5.2,0.192925559982786
5.21,0.192653790902214
5.22,0.192382014791548
5.23,0.192110234558189
5.24,0.191838426498032
5.25,0.191566580620546
5.26,0.191294721948327
5.27,0.191022818232336
5.28,0.190750860008432
5.29,0.190478852137447
5.3,0.190206772328376
5.31,0.189934624849024
5.32,0.189662407201632
5.33,0.189390096546347
5.34,0.189117717503147
5.35,0.188845224163559
5.36,0.188572611335577
5.37,0.188299891433467
5.38,0.188027050056907
5.39,0.187754070770944
5.4,0.187480977448156
5.41,0.187207723624709
5.42,0.186934314375417
5.43,0.186660752260894
5.44,0.186387022248805
5.45,0.18611311748774
5.46,0.185839029141391
5.47,0.185564743437031
5.48,0.185290258308873
5.49,0.18501556994012
5.5,0.184740663158982
5.51,0.184465540229122
5.52,0.184190190055136
5.53,0.183914587392269
5.54,0.183638747168876
5.55,0.183362652671772
5.56,0.183086294147271
5.57,0.182809665072383
5.58,0.182532755807442
5.59,0.182255562381045
5.6,0.181978069490255
5.61,0.181700275793115
5.62,0.181422176080702
5.63,0.181143761907867
5.64,0.180864999378512
5.65,0.180585928576302
5.66,0.180306492585608
5.67,0.180026711553937
5.68,0.179746568591131
5.69,0.179466066458037
5.7,0.17918515985038
5.71,0.178903897114728
5.72,0.178622238523625
5.73,0.178340151140435
5.74,0.178057683625724
5.75,0.177774777379576
5.76,0.177491446620278
5.77,0.177207679939683
5.78,0.176923478683403
5.79,0.176638816982569
5.8,0.176353690605286
5.81,0.176068109222876
5.82,0.175782038464503
5.83,0.175495476961877
5.84,0.175208431368842
5.85,0.174920867547483
5.86,0.174632802066669
5.87,0.174344206223422
5.88,0.174055085616523
5.89,0.173765436989211
5.9,0.173475235905107
5.91,0.173184466282162
5.92,0.1728931320213
5.93,0.172601231232779
5.94,0.172308752559388
5.95,0.172015672478979
5.96,0.171721999015552
5.97,0.171427723627727
5.98,0.171132811535966
5.99,0.170837297443418
6.0,0.170541128852202
6.01,0.17027547463507
6.02,0.170045160664462
6.03,0.169814972931708
6.04,0.169584914479623
6.05,0.169355006866586
6.06,0.169125223140756
6.07,0.168895576416193
6.08,0.168666065347819
6.09,0.16843669575857
6.1,0.168207463528848
6.11,0.167978374420938
6.12,0.167749421531046
6.13,0.167520603687041
6.14,0.167291926111064
6.15,0.167063392353986
6.16,0.166835005574938
6.17,0.166606758907312
6.18,0.166378651074373
6.19,0.166150684847769
6.2,0.165922868469305
6.21,0.16569520027966
6.22,0.165467668152669
6.23,0.165240283185332
6.24,0.165013050768966
6.25,0.164785954057985
6.26,0.164559011628023
6.27,0.164332208515208
6.28,0.164105568136287
6.29,0.163879068296064
6.3,0.163652715170231
6.31,0.163426508685856
6.32,0.163200462376186
6.33,0.162974556640061
6.34,0.162748809379309
6.35,0.162523203812627
6.36,0.162297755523828
6.37,0.162072452784662
6.38,0.161847297837442
6.39,0.161622309481077
6.4,0.161397462680399
6.41,0.161172767872608
6.42,0.16094823894201
6.43,0.160723852964329
6.44,0.160499620411546
6.45,0.160275544531645
6.46,0.160051625740774
6.47,0.159827861716267
6.48,0.159604251262539
6.49,0.159380790785501
6.5,0.159157481921024
6.51,0.158934339402531
6.52,0.15871135929563
6.53,0.158488516419996
6.54,0.158265843805661
6.55,0.158043321963549
6.56,0.157820966180528
6.57,0.157598761224534
6.58,0.157376705808602
6.59,0.157154822575641
6.6,0.156933083985076
6.61,0.156711513116521
6.62,0.156490090301818
6.63,0.156268828190519
6.64,0.156047739586405
6.65,0.155826790225403
6.66,0.155606014955872
6.67,0.155385381566725
6.68,0.155164922803431
6.69,0.154944614430574
6.7,0.154724468413437
6.71,0.154504488145731
6.72,0.154284658688172
6.73,0.154064987497909
6.74,0.153845485591534
6.75,0.15362613241137
6.76,0.153406948176571
6.77,0.153187925900837
6.78,0.152969051009574
6.79,0.152750345707384
6.8,0.15253180296034
6.81,0.152313418214244
6.82,0.152095196429085
6.83,0.151877124972885
6.84,0.151659222092785
6.85,0.151441479883967
6.86,0.151223901329185
6.87,0.151006474636771
6.88,0.150789219127948
6.89,0.150572112128662
6.9,0.150355177459878
6.91,0.150138397200773
6.92,0.149921788672146
6.93,0.149705330105794
6.94,0.149489033529111
6.95,0.149272901849397
6.96,0.149056930510157
6.97,0.148841121517782
6.98,0.148625464955003
6.99,0.14840998186897
7.0,0.148209901418176
7.01,0.14804166189497
7.02,0.147873827969709
7.03,0.147706384161791
7.04,0.14753933429384
7.05,0.147372680273207
7.06,0.14720641659663
7.07,0.147040547080089
7.08,0.146875068041517
7.09,0.146709966089789
7.1,0.146545274723786
7.11,0.146380949582324
7.12,0.146217013315416
7.13,0.146053463367386
7.14,0.145890295181426
7.15,0.145727500602989
7.16,0.145565092431598
7.17,0.145403073364089
7.18,0.145241420760859
7.19,0.145080140102212
7.2,0.144919253160369
7.21,0.14475873274722
7.22,0.144598581547109
7.23,0.144438806898214
7.24,0.144279411478022
7.25,0.144120362608251
7.26,0.143961705780196
7.27,0.143803402708307
7.28,0.143645476171692
7.29,0.143487898876151
7.3,0.143330703599042
7.31,0.143173854823708
7.32,0.143017389736089
7.33,0.142861266610054
7.34,0.142705504354835
7.35,0.142546751279876
7.36,0.142387804522378
7.37,0.142229225220686
7.38,0.142071026632989
7.39,0.141913189854767
7.4,0.141755730959017
7.41,0.14159863934432
7.42,0.141441903864354
7.43,0.141285541654955
7.44,0.141129528250256
7.45,0.140973890820905
7.46,0.140818614885041
7.47,0.140663691998325
7.48,0.140509130493514
7.49,0.140354931922598
7.5,0.140201084612444
7.51,0.140022401283594
7.52,0.139844181383208
7.53,0.139666445780486
7.54,0.139489182138918
7.55,0.139312391313145
7.56,0.139136073799952
7.57,0.138960224848419
7.58,0.138784836526129
7.59,0.138609914954432
7.6,0.138435454128907
7.61,0.13826146298978
7.62,0.138087922433367
7.63,0.137914844478897
7.64,0.137742218481232
7.65,0.137570048063763
