Mach,CD Power-On
1.77,0.434395541120781
1.78,0.432434492100871
1.79,0.430486139974607
1.8,0.428550465747696
1.81,0.426627390425799
1.82,0.424716883842447
1.83,0.422818883455758
1.84,0.420933337796666
1.85,0.419060223932732
1.86,0.417199465577782
1.87,0.415351032003154
1.88,0.413514876457374
1.89,0.411690963022079
1.9,0.409879240777371
1.91,0.408079685693382
1.92,0.406292235296279
1.93,0.404516861340103
1.94,0.402753522895758
1.95,0.4010021801213
1.96,0.399262807437013
1.97,0.39753536691443
1.98,0.39547846342907
1.99,0.393433418005834
2.0,0.391400202423174
2.01,0.389494921415536
2.02,0.387595532809549
2.03,0.38571394046911
2.04,0.383850000398695
2.05,0.382003546492477
2.06,0.380127762778955
2.07,0.377779833304491
2.08,0.375445670712437
2.09,0.37312508014115
2.1,0.370817900651238
2.11,0.368523927812871
2.12,0.366242993268449
2.13,0.363974943314788
2.14,0.361719592779709
2.15,0.3594767931321
2.16,0.357246375270813
2.17,0.355028205010922
2.18,0.352822111081768
2.19,0.350627971935822
2.2,0.348445627518619
2.21,0.346274966931021
2.22,0.344115815819132
2.23,0.34196807853962
2.24,0.339831614083972
2.25,0.337706291937347
2.26,0.335592013195343
2.27,0.333488635676431
2.28,0.331396041727637
2.29,0.329314147854876
2.3,0.327242794162712
2.31,0.325181915813656
2.32,0.323131398514667
2.33,0.321091109136234
2.34,0.319060976095812
2.35,0.317040901533518
2.36,0.31503077226448
2.37,0.313030489226799
2.38,0.3110399737403
2.39,0.30905912511095
2.4,0.307087861586133
2.41,0.305126096009947
2.42,0.303173723158629
2.43,0.301230684578856
2.44,0.299296877867048
2.45,0.297372231071091
2.46,0.296492055407961
2.47,0.295620891045927
2.48,0.29475863795444
2.49,0.293905221332384
2.5,0.293060589138843
2.51,0.292224646899936
2.52,0.291397325273507
2.53,0.290578564133955
2.54,0.289768274172622
2.55,0.288966414767985
2.56,0.288172886996061
2.57,0.287387646958327
2.58,0.286610621701313
2.59,0.285841755458647
2.6,0.285080965768897
2.61,0.28432820551398
2.62,0.28358339881019
2.63,0.282846514175429
2.64,0.282117453467814
2.65,0.281396185611368
2.66,0.280682646317509
2.67,0.279976769712334
2.68,0.279278514024148
2.69,0.27858780816833
2.7,0.277904611691631
2.71,0.27722885851094
2.72,0.276560497501407
2.73,0.275899483785303
2.74,0.275245755130207
2.75,0.274599269012013
2.76,0.273959963899659
2.77,0.273327793028651
2.78,0.27270271529976
