Mach,CD Power-Off
2.33,0.466443506225208
2.34,0.46475473449999
2.35,0.463076021252902
2.36,0.461407253299067
2.37,0.459748331576591
2.38,0.458099177405298
2.39,0.456459690091151
2.4,0.454829787881539
2.41,0.453209383620557
2.42,0.451598372084443
2.43,0.449996694819876
2.44,0.448404249423272
2.45,0.446820963798472
2.46,0.445246743638063
2.47,0.443681534778748
2.48,0.442125237189981
2.49,0.440577776070645
2.5,0.439039099379824
2.51,0.437509112643636
2.52,0.435987746519926
2.53,0.434474940883095
2.54,0.432970606424482
2.55,0.431474702522564
2.56,0.42998713025336
2.57,0.428507845718346
2.58,0.427036775964051
2.59,0.425573865224105
2.6,0.424119031037075
2.61,0.422672226284878
2.62,0.421233375083807
2.63,0.419802445951767
2.64,0.418379340746871
2.65,0.416964028393145
